ID,news,headline,method,answer
TRAIN_1,"(Oct 5, 2011 12:11 PM CDT) Police are still hunting for an armed and dangerous man who shot and killed three people and wounded five others at the California quarry where he worked this morning. He also shot and injured another woman in an attempted carjacking later. The suspect is identified as 45-year-old Shareef Allman. The San Jose Mercury News says he moonlighted as producer of a show called Real 2 Real on something called CreaTV in the area. (He interviews Jesse Jackson in one YouTube clip, which is in the gallery. Allman, who spread a message of non-violence, also has written a book called Amazing Grace about female victims of domestic violence, notes the Mercury News. The shooting spree occurred about 4:30am local time when a man left a safety meeting at the Lehigh Southwest Cement Permanente Plant, then returned with a rifle and a handgun, according to police. He fled on foot, and a massive manhunt is under way in the San Jose area. Schools are on lockdown, notes AP.",____rd Victim Dead in Quarry Shooting; Manhunt Still On,Trans(three),3
TRAIN_2,"(Mar 4, 2014 11:30 AM) The New York Times followed the Best Picture win for 12 Years a Slave by tweeting a link to an 1853 article on Solomon Northup, the film's historical subject. The original article's lead describes what is to follow as a more complete and authentic record than has yet appeared on Northup's kidnapping. Authentic, perhaps, but erroneous: It spelled Northup's name wrong in two different ways. A Twitter user caught the errors, and now the Times has corrected themâ€”just 161 years late, Poynter reports. The article spelled Northup's last name as Northrop, while the headline spelled it Northrup.",NYT Corrects 1853 Piece After ____ Years Win,Copy(12),12
TRAIN_3,"(Nov 4, 2008 3:19 PM) Stocks rallied on Election Day as investors applauded the looming conclusion to the presidential race, the Wall Street Journal reports. Continuing declines in interbank lending, and strong third-quarter earnings reports also fueled optimism, with the Dow rising 305.45 to close at 9,625.28. The Nasdaq climbed 53.79 closing at 1,780.12, while the S&P 500 gained 39.45 to settle at 1,005.75. The three-month US Libor dropped 0.10% to 2.706%, its 17th consecutive daily decline, signaling easing lending costs. Archer Daniels Midland rose 14.83% after the agricultural firm reported a doubling in third-quarter profit. MasterCard also shot up 18.2% despite reporting a quarterly loss of $194 million, because the loss was due to an antitrust penalty.",Stocks Up ____ in Election Rally,"Round(305.45,0)",305
TRAIN_4,"(Dec 24, 2014 11:19 AM) Turns out you won't even have to leave your house if you want to watch controversial Sony flick The Interview. The company has announced that, as of 1pm Eastern today, the Seth Rogen and James Franco movie about a plot to assassinate Kim Jong Un is available on YouTube, Google Play, Xbox, and possibly Sony's site SeetheInterview.com. It'll cost you $14.99 to buy or $5.99 to rent, Business Insider reports. The movie was initially pulled from release after the Sony hack and ensuing threats, but it will also be released in some theaters tomorrow after all.",You Can Watch The Interview at ____pm,Copy(1),1
TRAIN_5,"(Oct 16, 2014 3:02 AM CDT) Tristen Kurilla, the Pennsylvania 10-year-old who confessed to killing a 90-year-old woman over the weekend, is still in an adult prison and for now, his family thinks that could be the best place for him. His attorney withdrew a bail request yesterday saying the family just doesn't feel comfortable for numerous reasons, including concern for the family of Helen Novak, whom Tristen allegedly killed with a walking stick, reports WBRE. The lawyer also cited the family's worries over the supervision, of work, of everything. The district attorney says the boy is not in the general population. He is not in solitary confinement and he is not in isolation. He is in a cell which I believe is next to the infirmary where he can come and go from the cell to the infirmary. The nearest juvenile detention facility is 80 miles away. The boy has been provided with coloring books and other forms of entertainment, and while he understands where he is, he's acting like a normal 10-year-old and talks about his prison outfit being a Halloween costume, says his lawyer. Tristen has been charged as an adult with homicide, but his lawyer plans to have the case transferred to juvenile court, a move the chief counsel of the Juvenile Law Center in Philadelphia tells the AP is a no-brainer. The fifth-grader is a little boy, she says. It's a horrible tragedy, but it's shocking that he suddenly turned into an adult because of conduct that he engaged in. She says he is among the youngest people ever charged with homicide in Pennsylvania. The youngest on record was 9 years old.","Murder Suspect, ____, Will Stay in Adult Jail",Copy(10),10
TRAIN_6,"(Oct 3, 2011 9:10 AM CDT) Tobacco companies were well aware that their products contained radiationâ€”and they discovered this decades ago, UCLA researchers studying 27 historical documents have found. The firms learned of the presence of polonium-210 in cigarettes in 1959, and they examined the radioactive material's effects during the 1960s, documents show. They found that it caused cancerous growths in usersâ€™ lungs, and figured out just how much radiation a typical smoker would inhale, but the companies didnâ€™t warn the public. Using the original calculations, the researchers determined that the radiation would lead to the deaths of 138 of every 1,000 smokers over 25 years, ABC News reports. Not only are you inhaling it, but you're emitting radiation when you smoke, and your family, your dog, your cat are all inhaling that radiation, says an expert. Whatâ€™s more, some of these radiation particles hang around for decades. The timing of the original discovery is notable, says an anti-smoking advocate: It happened in an era when Americans were crawling under our desks during school radiation drills, meaning the news would have likely had a huge impact. Polonium remains in cigarettes, and a rep for Philip Morris says itâ€™s no secret to public health experts. Itâ€™s a naturally occurring element found in the air, soil, and water, says the spokesman.",Tobacco Firms Knew of Radiation in Cigsâ€”in ____,Copy(1959),1959
TRAIN_7,"(Mar 21, 2009 10:25 AM CDT) AIG documents show the firm paid out $218 million in bonusesâ€”higher than the $165 million that had been disclosed, says Connecticutâ€™s attorney general. The papers show five at the firm scored bonuses of more than $4 million, said Richard Blumenthal, whose office received the papers last night after issuing a subpoena, the AP reports. The new figures will further fuel the justified anger and revulsion, he said.",AIG Bonuses Higher Than Thought: $____M,Copy(218),218
TRAIN_8,"(Aug 7, 2013 10:14 AM CDT) A new study throws the whole concept of a due date into question, finding the length of pregnancy can naturally vary by as much as five weeks. The study of 125 women expands upon what the BBC reports are some fairly broad stats: Only 4% of women actually deliver when predicted, and 30% do not give birth within 10 days of their due dates. As LiveScience explains, that variation was previously attributed to inaccurate calculations of the baby's age. But the US National Institute of Environmental Health Sciences study used urine samples to determine precise ovulation and implantation dates, and, after excluding premature births, found the natural gestation period varied by up to 37 days. (The average ovulation-to-birth time was 268 days. The study also found there was a link between gestation length and the age of a mother, the weight she was at birth, and the time it took for embryos to implant. The emphasis on a single due date may make the length of pregnancy seem more predictable than it really is, says a study researcher. The upshot? Perhaps a delivered by date would be better than a due date, suggests a spokesperson for the UK's Royal College of Obstetricians and Gynecologists.","____ Months May Not Be 'Normal' Pregnancy, After All","Round(Divide(268,30),0)",9
TRAIN_9,"(Apr 4, 2012 9:15 AM CDT) Yahoo is slashing 2,000 jobs, or about 14% of its workforce, the company announced today, in a long-expected cost-cutting move. The cuts will hit every department in the company, and sources tell the Wall Street Journal that yet more cost reduction measures are in the works, as Yahoo continues to wrestle with flat revenue growth and declining traffic. But management did its best to put a positive spin on the changes. Today's actions are an important next step toward a bold, new Yahooâ€”smaller, nimbler, more profitable, and better equipped to innovate, CEO Scott Thompson said. Thompson was hired in January with a mandate to cut costs and redouble efforts to improve Yahoo's advertising business. Executives admit some advertisers may be scared off by the layoffs, but say they'll give Yahoo the flexibility to invest in new services and businesses.",Yahoo Lays Off ____K Workers,"Paraphrase(2,000,K)",2
TRAIN_10,"(May 25, 2010 8:08 AM CDT) BP's containment dome plan failed big time, and the oil giant is less than confident as it readies its latest and greatest plan for tomorrow: The top-kill maneuver, which Reuters reports the company thinks has a 60%-70% chance of succeeding. Tomorrow BP plans to inject heavy fluids and cement into the seabed well to try plug the holeâ€”a ploy that's worked previously, but never at 5000 feet underwater. Those successes were in above-ground wells in the Middle East, notes CNN. If the top kill fails, BP plans to try a new tube to siphon oil from the gushing well. The markets, however, don't seem confident in either strategy: BP is trading at its lowest since July, says Business Week. Click here for the latest on the Gulf spill.",BP: ____%-70% Chance 'Top Kill' Will Work,Copy(60),60
